,time,price_back,size_back,price_lay,size_lay,total_back,total_lay,trade
166,2020-03-24 13:44:59.610,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
167,2020-03-24 13:44:59.879,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
168,2020-03-24 13:45:00.152,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
169,2020-03-24 13:45:00.422,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
170,2020-03-24 13:45:00.695,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
171,2020-03-24 13:45:01.207,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
172,2020-03-24 13:45:01.478,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
173,2020-03-24 13:45:01.747,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
174,2020-03-24 13:45:02.015,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
175,2020-03-24 13:45:02.286,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
176,2020-03-24 13:45:02.555,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
177,2020-03-24 13:45:02.822,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
178,2020-03-24 13:45:03.092,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
179,2020-03-24 13:45:03.365,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
180,2020-03-24 13:45:03.639,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
181,2020-03-24 13:45:03.906,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
182,2020-03-24 13:45:04.179,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
183,2020-03-24 13:45:04.450,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
184,2020-03-24 13:45:04.718,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
185,2020-03-24 13:45:04.987,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
186,2020-03-24 13:45:05.258,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
187,2020-03-24 13:45:05.531,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
